000001.bmp,197,258,330.5,403.5,F-单根牙-a
000001.bmp,336,481,336.5,481.5,0
000001.bmp,437,375,437.5,375.5,0
000001.bmp,472,456,472.5,456.5,0
000001.bmp,477,536,477.5,536.5,0
000001.bmp,347,521,347.5,521.5,0
000002.bmp,429,441,429.5,441.5,0
000002.bmp,451,475,451.5,475.5,0
000002.bmp,-134,0,-134,83,0
000002.bmp,659,563,659.5,563.5,0
000001.bmp,331,413,331.5,413.5,0
000001.bmp,681,458,681.5,458.5,0
000002.bmp,379,303,379.5,303.5,0
000002.bmp,399,468,399.5,468.5,0
000003.bmp,549,403,549.5,403.5,0
000003.bmp,641,540,641.5,540.5,0
000001.bmp,284,453,284.5,453.5,0
000001.bmp,721,520,721.5,520.5,0
000003.bmp,267,416,267.5,416.5,F-单根牙-a
000003.bmp,322,478,322.5,478.5,F-单根牙-b
000001.bmp,765,486,765.5,486.5,1
000001.bmp,710,480,710.5,480.5,F-单根牙-a
000001.bmp,622,448,702.5,565.5,F-单根牙-b
000003.bmp,932,431,932.5,431.5,F-单根牙-a
000003.bmp,870,466,870.5,466.5,C-a
000003.bmp,802,463,802.5,463.5,F-磨牙-a
000003.bmp,760,528,760.5,528.5,F-磨牙-b
000003.bmp,704,508,704.5,508.5,A
000003.bmp,675,563,675.5,563.5,1
000001.bmp,785,500,785.5,500.5,1
000001.bmp,712,465,712.5,465.5,0
000001.bmp,664,508,664.5,508.5,F-单根牙-b
000003.bmp,935,435,935.5,435.5,0
000003.bmp,877,468,877.5,468.5,C-c
000003.bmp,807,458,807.5,458.5,D-a
000003.bmp,752,490,752.5,490.5,F-单根牙-a
000003.bmp,710,538,710.5,538.5,A
000003.bmp,665,550,665.5,550.5,F-磨牙-b
000003.bmp,632,500,632.5,500.5,H-a
000003.bmp,557,508,557.5,508.5,B
000003.bmp,510,561,510.5,561.5,B
000003.bmp,469,541,469.5,541.5,B
000003.bmp,417,531,417.5,531.5,B
000003.bmp,389,448,389.5,448.5,B
000003.bmp,302,466,302.5,466.5,B
000003.bmp,277,420,277.5,420.5,B
000001.bmp,777,495,777.5,495.5,B
000001.bmp,709,466,709.5,466.5,G
000001.bmp,502,496,502.5,496.5,C-a
000001.bmp,364,483,364.5,483.5,F-磨牙-a
000001.bmp,774,495,774.5,495.5,F-磨牙-a
000001.bmp,529,573,529.5,573.5,F-磨牙-a
000001.bmp,441,556,441.5,556.5,F-磨牙-a
000001.bmp,444,473,444.5,473.5,0
000001.bmp,494,511,494.5,511.5,0,option18
000001.bmp,-199,0,-148,138,C-b,option18
000001.bmp,724,493,724.5,493.5,C-b,option18
000001.bmp,386,426,551.5,453.5,C-b,option18
000001.bmp,404,511,404.5,511.5,C-b,option18
000001.bmp,459,568,459.5,568.5,C-b,option18
000001.bmp,709,343,709.5,343.5,C-b,option18
000001.bmp,471,280,471.5,280.5,C-b,option18
000001.bmp,597,426,648.5,512.5,C-b,option18
000001.bmp,289,481,289.5,481.5,C-b,option18
000001.bmp,259,401,259.5,401.5,C-b,option18
000001.bmp,259,398,259.5,398.5,C-b,option18
000001.bmp,329,326,329.5,326.5,C-b,option18
000001.bmp,754,570,1080.5,597.5,C-c,option47
000001.bmp,139,416,139.5,416.5,F-磨牙-b,option18
000001.bmp,696,238,696.5,238.5,E-单根牙-a,option18
000001.bmp,812,173,812.5,173.5,E-单根牙-a,option18
000001.bmp,166,313,166.5,313.5,E-单根牙-a,option45
000002.bmp,277,571,277.5,571.5,C-c,option47
000002.bmp,682,620,682.5,620.5,D-b,option15
000003.bmp,324,453,324.5,453.5,C-a,option13
000003.bmp,729,563,729.5,563.5,E-磨牙,option45
000003.bmp,467,576,467.5,576.5,E-磨牙,option45
000001.bmp,484,543,484.5,543.5,F-磨牙-b,option15
000002.bmp,407,443,643.5,639.5,F-磨牙-b,option15
000003.bmp,532,508,532.5,508.5,F-磨牙-b,option15
000002.bmp,424,451,424.5,451.5,F-磨牙-b,option15
000002.bmp,454,575,454.5,575.5,F-磨牙-b,option15
000002.bmp,269,598,269.5,598.5,F-磨牙-b,option15
000002.bmp,284,425,284.5,425.5,F-磨牙-b,option15
000002.bmp,454,393,454.5,393.5,F-磨牙-b,option15
000001.bmp,387,478,387.5,478.5,0,option18
000001.bmp,559,518,559.5,518.5,0,option18
000002.bmp,667,575,667.5,575.5,0,option18
000002.bmp,629,363,629.5,363.5,0,option18
000003.bmp,329,465,329.5,465.5,C-a,option18
000003.bmp,766,563,766.5,563.5,C-a,option44
000003.bmp,517,606,517.5,606.5,C-a,option32
000001.bmp,326,421,365,467,0,option18
000001.bmp,425,592,541,647,0,option18
000002.bmp,526,541,780,689,0,option18
000002.bmp,218,567,376,692,0,option18
000002.bmp,444,691,512,759,0,option18
000002.bmp,406,613,449,630,0,option18
000002.bmp,467,630,477,636,0,option18
000002.bmp,969,458,969,458,0,18
000002.bmp,818,589,818,589,0,18
000002.bmp,662,592,662,592,0,18
